Serial No. of Polling Station,"Ajay
Makan",Trilok chand Sharma,Vijay Goel,Aamer Ahmed Madni,Jitendar Kumar Gupta,Naresh Chander Pal,"Nisha
Bano","Maharaj
Kumar","Murtaza
Phool","Raj Kumar
Nayyar",Rajesh Kumar Sabharwal,Major Sangeeta Tomar,Sanjeev Kumar Mishra,"Sudhir
Kumar",,"Sudhir
Gandotra",Sunita Chaudhar y,Harender,"Harsh
Malhotra",Ajay Prakash Harit,Anil Kumar Gautam,"Ashutosh
Kumar",Kapil Mitra,"Karan
Kumar",Krishan Kumar Tyagi,Ghanshya m Dass,Jagat Singh Chauhan,"Dinesh
Kumar",Prem Narayan Khandelw al,BHAGWA N DAS,B.B. Malhotra,Mantu,"Ramesh
Bhagwat","Lachhman
Dass","Lukman
Khan","Ved
Prakash",Shiban Krishan Razdan,Shiv Kumar Shah,"Sapna
Rani Behl",Surender Singh Dabas,Harkrisha n Das Nijhawan,Total of valid votes,No. of Rejected Votes                                        Total,            Total,No. of Tender Votes
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,533,0,533,0
2,330,2,186,3,1,1,0,0,0,0,1,4,0,0,,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,358,0
3,205,6,138,0,0,0,0,0,0,0,0,6,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,611,0,611,0
4,279,102,206,0,0,1,0,0,0,1,0,1,0,0,,0,2,0,1,2,0,1,1,1,0,1,0,0,1,0,0,0,3,4,0,0,1,0,1,1,1,229,0,229,0
5,108,3,114,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,389,0,389,0
6,198,3,174,2,0,1,0,0,0,1,2,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,483,0,483,0
7,234,12,222,0,0,0,1,0,0,0,0,1,0,0,,0,2,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,2,0,0,0,1,515,0,515,0
8,255,6,245,2,0,0,0,0,0,0,0,1,0,0,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,536,0,536,0
9,297,92,128,0,1,1,0,0,1,0,0,0,1,1,,0,1,0,3,0,1,0,0,1,0,0,0,2,0,0,1,0,3,1,0,0,0,0,0,0,1,359,0,359,0
10,249,5,97,2,1,0,0,1,0,0,0,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,364,0,364,0
11,161,102,86,1,0,2,1,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,1,0,0,0,0,0,620,0,620,0
12,418,51,132,3,0,0,0,0,0,0,0,2,1,0,,0,2,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,209,0,209,0
13,142,2,58,1,1,0,0,0,0,0,0,2,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,384,0,384,0
14,278,6,88,0,0,1,0,1,0,0,1,0,0,0,,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,321,0,321,0
15,222,0,87,1,0,0,0,0,0,0,1,3,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,423,0,423,0
16,237,4,168,1,0,0,0,0,0,0,0,9,1,0,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,847,0,847,0
17,476,3,357,2,0,0,0,0,0,1,1,1,0,0,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,390,0,390,0
17A,245,8,119,1,0,0,0,0,1,0,0,0,0,0,,0,1,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,0,3,2,0,0,2,1,0,0,329,0,329,0
18,211,11,93,0,0,0,0,0,0,0,2,0,0,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,1,1,0,0,1,0,0,479,0,479,0
18A,321,21,122,2,0,0,0,0,0,0,1,0,0,0,,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,363,0,363,0
19,279,2,62,1,0,0,0,0,0,1,0,1,0,0,,1,2,0,1,1,0,1,0,0,2,1,0,1,0,0,0,1,3,1,1,0,0,0,1,0,0,491,0,491,0
19A,260,49,166,2,0,0,0,1,0,1,1,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,2,0,0,325,0,325,0
20,129,5,184,0,0,0,0,1,0,0,1,0,0,0,,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,406,0,406,0
20A,217,5,166,2,0,0,0,0,0,0,1,0,0,0,,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2,1,0,1,0,0,1,2,331,0,331,0
21,167,4,153,2,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,294,0,294,0
22,185,7,96,2,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,624,0,624,0
23,333,6,279,0,1,0,0,0,0,0,0,3,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,496,0,496,0
24,310,3,175,0,0,0,0,0,0,0,0,5,0,0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,563,0,563,0
25,308,3,245,2,1,0,0,0,0,0,0,2,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,567,0
26,335,3,218,2,0,0,0,1,1,0,0,3,0,0,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,405,0,405,0
27,242,8,149,1,1,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,457,0
28,294,4,155,0,0,0,0,0,0,1,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,583,0,583,0
29,335,4,232,2,0,0,1,0,0,0,0,8,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,550,0
30,297,0,248,1,1,1,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,628,0
31,384,4,230,1,0,0,1,0,1,0,1,2,0,0,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,460,0,460,0
32,229,5,222,0,0,0,0,0,0,0,1,1,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,579,0
33,329,4,234,2,0,0,0,0,0,0,1,4,0,0,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,654,0,654,0
34,357,0,285,2,0,0,0,0,0,0,1,1,0,1,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,852,0,852,0
35,528,17,291,2,0,0,0,0,0,0,0,6,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,481,0,481,0
36,275,5,195,1,1,0,0,0,0,1,0,2,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,583,0
37,333,4,238,1,1,0,1,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,639,0,639,0
38,403,6,216,2,0,1,0,0,0,0,0,2,1,0,,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,562,0,562,0
39,311,4,234,2,0,0,0,0,0,0,0,5,0,0,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,499,0,499,0
40,307,3,179,3,0,0,0,0,0,0,0,5,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,787,0
41,458,5,318,0,0,0,0,0,0,0,0,1,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,667,0,667,0
42,394,9,249,0,0,0,1,0,0,0,0,2,0,0,,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,566,0,566,0
43,348,7,206,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,704,0,704,0
44,529,20,121,2,2,1,1,0,0,0,0,2,1,0,,1,8,5,1,0,0,1,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,1,0,581,0,581,0
45,310,4,251,2,0,0,0,0,0,0,1,0,0,1,,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,0,0,1,1,0,0,1,294,0,294,0
46,165,0,124,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,697,0,697,0
47,432,6,237,0,0,0,1,0,0,0,0,14,0,1,,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,732,0,732,0
48,469,11,238,1,0,0,0,0,0,0,0,7,0,2,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,381,0,381,0
49,266,23,66,1,0,0,1,0,0,0,1,1,2,0,,1,1,5,2,0,0,0,0,0,1,0,0,1,0,2,0,0,3,0,2,0,0,1,0,1,0,384,0,384,0
50,258,78,31,0,0,0,0,2,0,0,0,0,0,0,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,1,0,2,0,0,0,248,0,248,0
51,129,3,110,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,609,0,609,0
52,357,3,234,1,1,0,1,0,1,0,1,5,0,0,,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,340,0
53,245,9,80,3,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,499,0
54,288,9,189,4,0,1,0,0,0,0,0,2,2,0,,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,724,0,724,0
55,395,3,310,0,0,0,0,0,0,0,0,4,0,0,,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,647,0,647,0
56,343,2,292,1,0,0,0,0,0,0,1,3,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,570,0,570,0
57,349,19,191,1,0,0,0,1,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,771,0,771,0
58,388,1,370,1,1,0,0,0,0,0,0,6,0,0,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,455,0,455,0
59,205,1,237,0,0,2,0,0,0,0,0,3,0,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,501,0,501,0
60,329,2,161,1,1,0,0,0,0,0,0,1,0,0,,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,698,0,698,0
61,377,135,172,0,0,0,0,0,0,0,1,1,0,0,,1,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,663,0,663,0
62,422,18,201,0,0,0,0,0,0,0,0,1,0,0,,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,3,2,2,1,0,0,2,2,753,0,753,0
63,474,11,253,0,1,0,0,1,0,2,1,1,0,0,,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,262,0,262,0
64,129,87,40,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,864,0,864,0
65,638,69,133,3,0,1,0,0,1,0,0,1,0,0,,0,1,0,2,0,0,1,0,0,1,0,1,2,1,0,1,1,1,2,3,0,0,0,1,0,0,556,0,556,0
66,332,4,210,0,0,0,0,0,0,0,0,6,0,0,,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,517,0
67,251,6,228,0,0,0,0,0,0,1,0,22,0,0,,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,407,0,407,0
68,234,1,162,0,0,0,0,0,0,0,1,9,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,475,0
69,252,1,214,1,0,0,0,0,0,0,0,1,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,598,0,598,0
70,325,55,207,2,0,0,0,0,0,0,0,0,1,0,,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,314,0,314,0
71,132,112,61,1,1,0,2,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,493,0,493,0
72,195,65,209,0,0,0,0,0,0,0,1,0,1,0,,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,6,1,3,1,4,0,0,1,376,0,376,0
73,145,122,99,0,0,0,0,0,0,0,0,0,0,2,,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,724,0,724,0
74,337,119,247,3,1,1,0,0,0,0,0,0,1,1,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,1,1,0,1,1,0,2,530,0,530,0
